,review_text,review_rating
0,penasaran ama iklannya review org yang katanya benefitnya lgs kerasa dlm wkt pemakaian hari aja jdnya cobain lancome genifique karna usia udh an atas saya coba lancome enak banget cepat meresap kulit jg terasa ringan karna booster jadi ku combine ama serum advance night repairnya estee lauder kl kata saya produk must have banget buat usia atas an menjaga kulit dr keriput sekaligus memperbaiki kulit recomended banget bakal continue deh ama produk puas banget,5
1,kandungan olivenya bagus banget kulit pakai udah lama banget mulai kemasan lama kemasan baru keep loyal makenya tidak bakal nyesel deh kotoran/debu/ semua kulit jadi halus kenyal semua scrub body shop paling cocok iklim tropis meninggalkan residu menyebabkan kulit terlalu lembab tips kalau kamu tinggal daerah dingin lebih cocok pakai kadar kelembabanya lebih tinggi misalnya mango/shea iklim cenderung panas lebih cocok pakai olive moringa passion fruit strawberry pengalaman pribadi biar lebih efektif digosokkan bagian tertentu biarkan sebentar jangan terlalu lama lalu gosok cara sangat efektif semua kotoran tergulung kulit kamu rasakan sendiri hasilnya,5
2,cinta this beneran bantu nipisin spot kaya missal nya beaks jerawat muka cerah tidak berminyak tidak buat reaksi kulit karena tidak cocok dengan zat aktif pada produk sayangnya meski botolnya bagus tidak lihat isi nya tinggal seberapa tidak kelihatan,5
3,udah jatuh cinta banget sama sebamed yang sebelumnya aku pakai yang cleansing bar sebulan terlalu ngaruh emang berkurang sih pertumbuhan jerawatnya nah karna udah parah jerawatku akhirnya aku cobain yang foam awal pemakaian emang purdging sih -minggu malah sampe sebulan sebulan kemudian bakal mulus jerawat jadi jarang muncul komedo jadi berkurang banget cocok lah aku soal harga memang mahal worth it bangeeet,5
4,salah satu line paulas choice kesukaan foam ringan membuat kulit kering minyak muka terkontrol suka wanginya hasil maksimal lepas facial wash,5
5,pas beli gara keracunan beauty blogger bilang katanya sunscreen bagus pas dipakai oiya ternyata bagus cepat menyerapnya tidak buat muka ku makin minyak kan pokonya sukak banget deh,5
6,cinta it too much sama bb cream packingnya higienis pump nya cukup dikit pakai nya tap-tap aja jadi kelihatan lebih natural klo kebanyakan gak pas pilihan warna nya kayak pakai topeng hmm sekarang ak suka pakenya blend sama cc etude yang silky lebih pas rasanya pilihan warna muka ku jangan lupa double cleansing biar gak reaksi kulit karena tidak cocok dengan zat aktif pada produk,5
7,inilah ujung pencarian tabir surya tepat buatku jadi selama tabir surya/ sun protection aku pakai selalu buat muka aku kayak kilang minyak berujung komedo jerawi serem banget khan padahal mungkin muka dibiarin aja pakai tabir surya bahaya nah skin aqua uv moisturizer gel pas banget buat aku jenis mukanya combinasi berminyaknya t zone sensitip terutama kalau mengandung parfum gampang berjerawi teksturnya kaya lotion begitu diacepet meresap dikulit buat oily aku pakai pelembab jadi skin care pagiku cuma pakai obat jerawi kalau jerawi oiya satu lumayan mencerahkan wajah apa cuma persaanku intinya top,5
8,harganya ramah kantong lip balm mampu melembabkan bibir namum lembab tak bertahan lama cepat hilang dipakai bibir berminyak habis makan gorengan lipbalm wanginya sangat rasanya enak jadinya pengen dimakan begitu lipbalm bagus pemakaian lipstik bibir pecah-pecah packagingnya lucu menarik,5
9,pertama kali liat beauty blender heran koq sponge aja mahal banget yah penasaran ikutan beli terus ditaroh begitu aja dipakai-pakai lamasoalnya lagi pakai merk yang satu eh dipakai really fall in cinta with this egg sponge flawless banget apply foundation sangat mudah rata banget spot really worth it to buy again very recommended,5
10,kalau us harganya cuma u lho waktu saya pakai bagus beli buat mamih kecil kemasannya bawa travelling bersih tidak buat kering klo d pakenya seminggu -x wanginya mantepzz,5
11,sukaaaa bangeet lip balm oke packagingnya imut design warna menarik mudah didapat murah harganya udah ber-spf ampuh ngelembapin bibirku wanginya enak varian termasuk favoritku lainnya wajib pouch nih,5
12,one of oriflame best lipstick series studio artist mengeluarkan set lengkap bedak hingga lipstick lipstick warna matte finish lembut gak buat kering wangi bertahan berjam-jam kalau pakai sedikit foundation bibir terlebih ill repurchase it with another color,5
13,seriously tuh holly grail skin care bangetttt aku sesuka sama produk buat muka glowing jadi keliatan seger sehat buat kulit muka lebih kenyal buat jerawat ampuh banget ngempesin jerawat tinggal kompres area berjerawat buat jerawat yang mah nongol tinggal kompres jerawat gak jadi muncul dipakai make up buat muka jadi glowing selalu repurchase fte aku suka banget,5
14,my holy grail lip balm enak bangetttt kalau habis pakai paginya kulit bibir yang pecah udah jadi lembut tinggal pijat dikit lgsg kaya scrub aja begitu sygnya over pricey dijual indo padahal diluaran sekitar - aja soal kemasan lebih suka lip therapy vaseline pas bentuknya kaya tube kecil begitu jadi applynya tidak perlu pakai tangan,5
